SOLUTION
3 n040w4

ASSIGNMENTS = 162
HN_0 Mon Night Caretaker
HN_0 Thu Early Caretaker
HN_0 Fri Early Nurse
HN_0 Sat Night HeadNurse
HN_0 Sun Night HeadNurse
HN_1 Tue Late Caretaker
HN_1 Wed Late HeadNurse
HN_1 Thu Late Nurse
HN_2 Tue Night HeadNurse
HN_2 Wed Night Caretaker
HN_2 Thu Night Caretaker
HN_2 Fri Night Nurse
HN_3 Tue Early HeadNurse
HN_3 Wed Early HeadNurse
HN_3 Thu Day Nurse
HN_3 Fri Day Nurse
HN_4 Mon Day Nurse
HN_4 Tue Day HeadNurse
HN_4 Wed Day Nurse
HN_4 Sat Late HeadNurse
HN_4 Sun Late Nurse
HN_5 Mon Night Caretaker
HN_5 Tue Night Nurse
HN_5 Wed Night Caretaker
NU_6 Tue Late Nurse
NU_6 Wed Late Nurse
NU_6 Thu Late Nurse
NU_7 Tue Day Nurse
NU_7 Wed Day Nurse
NU_7 Thu Day Nurse
NU_8 Mon Night Nurse
NU_8 Tue Night Caretaker
NU_8 Wed Night Nurse
NU_8 Sat Early Nurse
NU_8 Sun Early Nurse
NU_9 Mon Day Caretaker
NU_9 Tue Day Caretaker
NU_9 Wed Late Nurse
NU_9 Thu Late Caretaker
NU_10 Mon Late Nurse
NU_10 Tue Late Caretaker
NU_10 Wed Late Caretaker
NU_10 Sat Day Nurse
NU_10 Sun Day Nurse
NU_11 Tue Early Nurse
NU_11 Wed Early Nurse
NU_11 Thu Early Nurse
NU_12 Mon Early Nurse
NU_12 Tue Early Nurse
NU_12 Wed Early Caretaker
NU_12 Thu Late Caretaker
NU_12 Fri Late Nurse
NU_13 Wed Night Caretaker
NU_13 Thu Night Nurse
NU_13 Fri Night Caretaker
NU_13 Sat Night Nurse
NU_13 Sun Night Nurse
NU_14 Mon Early Nurse
NU_14 Tue Early Caretaker
NU_14 Wed Early Caretaker
NU_14 Thu Early Nurse
NU_14 Fri Early Caretaker
NU_15 Tue Night Caretaker
NU_15 Wed Night Caretaker
NU_15 Thu Night Caretaker
NU_15 Fri Night Caretaker
NU_16 Mon Early Caretaker
NU_16 Tue Early Caretaker
NU_16 Fri Late Caretaker
NU_16 Sat Late Nurse
NU_16 Sun Night Caretaker
NU_17 Tue Night Caretaker
NU_17 Wed Night Caretaker
NU_17 Thu Night Caretaker
NU_17 Fri Night Caretaker
CT_18 Tue Day Caretaker
CT_18 Wed Day Caretaker
CT_18 Thu Day Caretaker
CT_19 Sat Day Caretaker
CT_19 Sun Day Caretaker
CT_20 Thu Day Caretaker
CT_20 Fri Day Caretaker
CT_20 Sat Day Caretaker
CT_20 Sun Day Caretaker
CT_21 Tue Day Caretaker
CT_21 Wed Day Caretaker
CT_21 Thu Day Caretaker
CT_22 Mon Day Caretaker
CT_22 Thu Early Caretaker
CT_22 Fri Early Caretaker
CT_22 Sat Early Caretaker
CT_22 Sun Early Caretaker
CT_23 Tue Early Caretaker
CT_23 Wed Early Caretaker
CT_23 Thu Early Caretaker
CT_24 Mon Early Caretaker
CT_24 Tue Early Caretaker
CT_24 Wed Early Caretaker
CT_24 Thu Early Caretaker
CT_24 Fri Early Caretaker
CT_25 Mon Night Caretaker
CT_25 Tue Night Caretaker
CT_25 Fri Night Caretaker
CT_25 Sat Night Caretaker
CT_25 Sun Night Caretaker
CT_26 Mon Day Caretaker
CT_26 Tue Day Caretaker
CT_26 Wed Late Caretaker
CT_26 Thu Late Caretaker
CT_26 Fri Late Caretaker
CT_27 Tue Day Caretaker
CT_27 Wed Day Caretaker
CT_27 Thu Day Caretaker
CT_28 Mon Late Caretaker
CT_28 Tue Late Caretaker
CT_28 Wed Late Caretaker
CT_28 Sat Late Caretaker
CT_28 Sun Late Caretaker
CT_29 Mon Late Caretaker
CT_29 Thu Early Caretaker
CT_29 Fri Early Caretaker
CT_29 Sat Early Caretaker
CT_29 Sun Late Caretaker
CT_30 Mon Late Caretaker
CT_30 Tue Late Caretaker
CT_30 Fri Day Caretaker
CT_30 Sat Day Caretaker
CT_30 Sun Early Caretaker
CT_31 Mon Early Caretaker
CT_31 Thu Late Caretaker
CT_31 Fri Late Caretaker
CT_31 Sat Late Caretaker
CT_31 Sun Late Caretaker
TR_32 Mon Late Trainee
TR_32 Sat Day Trainee
TR_32 Sun Day Trainee
TR_33 Mon Late Trainee
TR_33 Tue Late Trainee
TR_33 Wed Late Trainee
TR_34 Thu Night Trainee
TR_34 Fri Night Trainee
TR_34 Sat Night Trainee
TR_34 Sun Night Trainee
TR_35 Mon Night Trainee
TR_35 Tue Night Trainee
TR_35 Wed Night Trainee
TR_35 Thu Night Trainee
TR_35 Fri Night Trainee
TR_36 Mon Day Trainee
TR_36 Tue Day Trainee
TR_36 Wed Day Trainee
TR_37 Mon Day Trainee
TR_37 Tue Late Trainee
TR_37 Wed Late Trainee
TR_38 Mon Early Trainee
TR_38 Tue Early Trainee
TR_38 Fri Late Trainee
TR_38 Sat Late Trainee
TR_38 Sun Late Trainee
TR_39 Fri Early Trainee
TR_39 Sat Early Trainee
TR_39 Sun Early Trainee
