SOLUTION
1 n050w4

ASSIGNMENTS = 197
HN_0 Wed Early HeadNurse
HN_0 Thu Early Nurse
HN_0 Fri Early HeadNurse
HN_1 Mon Late HeadNurse
HN_1 Thu Day HeadNurse
HN_1 Fri Day Nurse
HN_1 Sat Late Nurse
HN_1 Sun Late HeadNurse
HN_2 Wed Late HeadNurse
HN_2 Thu Late Nurse
HN_2 Fri Late Nurse
HN_3 Mon Night Nurse
HN_3 Tue Night HeadNurse
HN_3 Wed Night HeadNurse
HN_3 Thu Night Nurse
HN_3 Fri Night Nurse
HN_4 Mon Day Nurse
HN_4 Tue Day Nurse
HN_5 Thu Day Nurse
HN_5 Fri Day Nurse
HN_5 Sat Day Nurse
HN_5 Sun Day HeadNurse
NU_6 Mon Day Caretaker
NU_6 Tue Day Nurse
NU_6 Wed Day Nurse
NU_6 Sat Day Caretaker
NU_6 Sun Day Nurse
NU_7 Tue Night Nurse
NU_7 Wed Night Nurse
NU_7 Thu Night Nurse
NU_7 Fri Night Nurse
NU_8 Mon Late Nurse
NU_8 Thu Day Nurse
NU_8 Fri Day Caretaker
NU_8 Sat Late Caretaker
NU_8 Sun Late Nurse
NU_9 Mon Day Caretaker
NU_9 Tue Day Caretaker
NU_9 Wed Day Nurse
NU_9 Sat Early Nurse
NU_9 Sun Early Nurse
NU_10 Mon Day Caretaker
NU_10 Tue Day Caretaker
NU_10 Wed Early Nurse
NU_10 Thu Early Caretaker
NU_10 Fri Early Nurse
NU_11 Mon Late Nurse
NU_11 Tue Late Nurse
NU_11 Fri Early Nurse
NU_11 Sat Early Nurse
NU_11 Sun Day Caretaker
NU_12 Mon Late Caretaker
NU_12 Tue Late Nurse
NU_12 Wed Late Nurse
NU_12 Sat Early Caretaker
NU_12 Sun Early Caretaker
NU_13 Mon Late Caretaker
NU_13 Tue Late Caretaker
NU_14 Mon Night Nurse
NU_14 Tue Night Nurse
NU_14 Wed Night Nurse
NU_14 Thu Night Caretaker
NU_15 Mon Night Nurse
NU_15 Tue Night Nurse
NU_15 Wed Night Caretaker
NU_15 Thu Night Caretaker
NU_16 Wed Early Nurse
NU_16 Thu Early Caretaker
NU_16 Fri Early Nurse
NU_17 Wed Late Nurse
NU_17 Thu Late Nurse
NU_17 Fri Late Nurse
NU_18 Mon Late Caretaker
NU_18 Tue Late Caretaker
NU_18 Wed Late Nurse
NU_19 Wed Early Nurse
NU_19 Thu Early Caretaker
NU_19 Fri Early Caretaker
NU_20 Mon Night Caretaker
NU_20 Tue Night Caretaker
NU_21 Mon Early Nurse
NU_21 Tue Early Nurse
NU_21 Wed Late Caretaker
NU_21 Thu Late Caretaker
NU_21 Fri Late Caretaker
NU_22 Wed Late Caretaker
NU_22 Thu Late Caretaker
NU_22 Fri Late Caretaker
NU_23 Mon Late Caretaker
NU_23 Thu Early Caretaker
NU_23 Fri Early Caretaker
NU_23 Sat Early Caretaker
NU_23 Sun Day Caretaker
NU_24 Mon Day Caretaker
NU_24 Tue Day Caretaker
NU_24 Wed Day Caretaker
NU_24 Sat Late Caretaker
NU_24 Sun Late Nurse
NU_25 Tue Early Nurse
NU_25 Wed Early Caretaker
NU_25 Thu Day Caretaker
NU_25 Fri Day Caretaker
NU_26 Wed Day Caretaker
NU_26 Thu Day Caretaker
NU_26 Fri Day Caretaker
NU_27 Mon Late Caretaker
NU_27 Tue Late Caretaker
NU_27 Wed Late Caretaker
NU_27 Sat Night Nurse
NU_27 Sun Night Nurse
CT_28 Mon Night Caretaker
CT_28 Tue Night Caretaker
CT_28 Fri Day Caretaker
CT_28 Sat Day Caretaker
CT_28 Sun Day Caretaker
CT_29 Mon Early Caretaker
CT_29 Tue Early Caretaker
CT_29 Sat Night Caretaker
CT_29 Sun Night Caretaker
CT_30 Thu Night Caretaker
CT_30 Fri Night Caretaker
CT_30 Sat Night Caretaker
CT_30 Sun Night Caretaker
CT_31 Mon Day Caretaker
CT_31 Tue Day Caretaker
CT_31 Wed Early Caretaker
CT_31 Thu Early Caretaker
CT_31 Fri Early Caretaker
CT_32 Thu Day Caretaker
CT_32 Fri Day Caretaker
CT_32 Sat Late Caretaker
CT_32 Sun Late Caretaker
CT_33 Mon Early Caretaker
CT_33 Tue Early Caretaker
CT_33 Wed Late Caretaker
CT_33 Thu Late Caretaker
CT_33 Fri Late Caretaker
CT_34 Mon Early Caretaker
CT_34 Tue Early Caretaker
CT_34 Wed Early Caretaker
CT_35 Tue Night Caretaker
CT_35 Wed Night Caretaker
CT_35 Thu Night Caretaker
CT_35 Fri Night Caretaker
CT_36 Mon Day Caretaker
CT_36 Tue Day Caretaker
CT_36 Wed Day Caretaker
CT_37 Mon Early Caretaker
CT_37 Tue Early Caretaker
CT_37 Wed Early Caretaker
CT_37 Thu Late Caretaker
CT_37 Fri Late Caretaker
CT_38 Mon Night Caretaker
CT_38 Tue Night Caretaker
CT_38 Wed Night Caretaker
CT_38 Thu Night Caretaker
CT_38 Fri Night Caretaker
CT_39 Mon Night Caretaker
CT_39 Tue Night Caretaker
TR_40 Mon Late Trainee
TR_40 Tue Late Trainee
TR_40 Wed Late Trainee
TR_40 Sat Night Trainee
TR_40 Sun Night Trainee
TR_41 Tue Early Trainee
TR_41 Wed Early Trainee
TR_41 Thu Early Trainee
TR_42 Sat Day Trainee
TR_42 Sun Day Trainee
TR_43 Mon Night Trainee
TR_43 Fri Early Trainee
TR_43 Sat Early Trainee
TR_43 Sun Late Trainee
TR_44 Thu Early Trainee
TR_44 Fri Early Trainee
TR_44 Sat Late Trainee
TR_44 Sun Late Trainee
TR_45 Mon Day Trainee
TR_45 Tue Day Trainee
TR_45 Wed Day Trainee
TR_45 Sat Early Trainee
