SOLUTION
1 n060w4

ASSIGNMENTS = 212
HN_0 Mon Night HeadNurse
HN_0 Tue Night HeadNurse
HN_0 Wed Night HeadNurse
HN_1 Wed Day Nurse
HN_1 Thu Day HeadNurse
HN_1 Fri Day HeadNurse
HN_2 Mon Day HeadNurse
HN_2 Tue Day HeadNurse
HN_2 Wed Day Nurse
HN_2 Thu Day Nurse
HN_2 Fri Day Nurse
HN_3 Tue Early HeadNurse
HN_3 Wed Late Nurse
HN_3 Thu Late Nurse
HN_4 Thu Early Nurse
HN_4 Fri Early HeadNurse
HN_4 Sat Early HeadNurse
HN_4 Sun Late HeadNurse
HN_5 Fri Day Nurse
HN_5 Sat Day Nurse
HN_5 Sun Day Nurse
HN_6 Mon Late HeadNurse
HN_6 Tue Late HeadNurse
HN_6 Wed Late Nurse
HN_6 Thu Late Nurse
HN_6 Fri Late HeadNurse
NU_7 Mon Late Nurse
NU_8 Tue Day Nurse
NU_8 Wed Day Caretaker
NU_8 Thu Day Nurse
NU_9 Mon Early Nurse
NU_9 Tue Late Nurse
NU_9 Wed Late Caretaker
NU_10 Sat Early Nurse
NU_10 Sun Early Nurse
NU_11 Mon Night Nurse
NU_11 Tue Night Nurse
NU_11 Wed Night Nurse
NU_11 Thu Night Nurse
NU_12 Mon Day Nurse
NU_13 Mon Early Nurse
NU_13 Tue Early Nurse
NU_13 Wed Early Nurse
NU_13 Thu Early Nurse
NU_13 Fri Early Nurse
NU_15 Mon Early Nurse
NU_15 Tue Early Nurse
NU_15 Wed Early Nurse
NU_15 Thu Early Nurse
NU_15 Fri Early Nurse
NU_16 Mon Night Nurse
NU_16 Tue Night Nurse
NU_16 Wed Night Nurse
NU_16 Thu Night Nurse
NU_17 Mon Night Nurse
NU_18 Mon Late Nurse
NU_18 Thu Late Caretaker
NU_18 Fri Late Nurse
NU_19 Fri Late Nurse
NU_19 Sat Late Nurse
NU_19 Sun Night Nurse
NU_20 Sat Early Caretaker
NU_20 Sun Early Caretaker
NU_21 Mon Early Caretaker
NU_21 Tue Early Nurse
NU_21 Wed Early Nurse
NU_22 Thu Late Caretaker
NU_22 Fri Late Nurse
NU_22 Sat Late Nurse
NU_22 Sun Late Nurse
NU_23 Wed Early Caretaker
NU_23 Thu Early Caretaker
NU_23 Fri Early Caretaker
NU_24 Fri Late Caretaker
NU_24 Sat Late Caretaker
NU_24 Sun Late Caretaker
NU_25 Mon Early Caretaker
NU_25 Tue Early Caretaker
NU_25 Wed Early Caretaker
NU_25 Thu Early Caretaker
NU_25 Fri Early Caretaker
NU_26 Mon Day Nurse
NU_26 Tue Day Nurse
NU_26 Wed Night Nurse
NU_26 Thu Night Caretaker
NU_26 Fri Night Nurse
NU_26 Sat Night Nurse
NU_26 Sun Night Nurse
NU_27 Mon Day Caretaker
NU_27 Tue Day Nurse
NU_27 Wed Day Caretaker
NU_27 Thu Day Nurse
NU_27 Fri Day Caretaker
NU_28 Mon Early Caretaker
NU_28 Tue Early Caretaker
NU_28 Wed Early Caretaker
NU_28 Thu Day Caretaker
NU_28 Fri Day Caretaker
NU_29 Mon Night Caretaker
NU_29 Tue Night Caretaker
NU_29 Wed Night Caretaker
NU_29 Thu Night Caretaker
NU_29 Fri Night Nurse
NU_30 Fri Day Caretaker
NU_30 Sat Day Nurse
NU_30 Sun Day Caretaker
NU_31 Mon Day Caretaker
NU_31 Tue Day Caretaker
NU_31 Wed Day Caretaker
NU_31 Thu Day Caretaker
NU_31 Fri Day Caretaker
NU_32 Tue Late Nurse
NU_32 Wed Late Caretaker
NU_32 Thu Late Caretaker
NU_33 Tue Day Caretaker
NU_33 Wed Day Caretaker
NU_33 Thu Day Caretaker
NU_34 Mon Day Caretaker
NU_34 Tue Night Caretaker
NU_34 Wed Night Caretaker
NU_34 Thu Night Caretaker
NU_34 Fri Night Caretaker
NU_35 Mon Late Nurse
NU_35 Tue Late Nurse
NU_35 Fri Day Caretaker
NU_35 Sat Day Caretaker
NU_35 Sun Day Caretaker
NU_36 Mon Day Caretaker
NU_36 Tue Day Caretaker
NU_36 Wed Day Caretaker
CT_37 Tue Day Caretaker
CT_37 Wed Day Caretaker
CT_37 Thu Day Caretaker
CT_37 Fri Day Caretaker
CT_37 Sat Day Caretaker
CT_37 Sun Day Caretaker
CT_38 Mon Late Caretaker
CT_38 Tue Late Caretaker
CT_38 Wed Night Caretaker
CT_38 Thu Night Caretaker
CT_38 Fri Night Caretaker
CT_38 Sat Night Caretaker
CT_38 Sun Night Caretaker
CT_39 Mon Early Caretaker
CT_39 Tue Early Caretaker
CT_39 Wed Early Caretaker
CT_39 Thu Early Caretaker
CT_39 Fri Early Caretaker
CT_40 Mon Day Caretaker
CT_40 Tue Day Caretaker
CT_40 Wed Day Caretaker
CT_41 Mon Late Caretaker
CT_41 Tue Late Caretaker
CT_41 Fri Late Caretaker
CT_41 Sat Late Caretaker
CT_41 Sun Late Caretaker
CT_42 Mon Late Caretaker
CT_43 Tue Late Caretaker
CT_43 Wed Late Caretaker
CT_43 Thu Late Caretaker
CT_44 Mon Late Caretaker
CT_44 Tue Late Caretaker
CT_44 Fri Night Caretaker
CT_44 Sat Night Caretaker
CT_44 Sun Night Caretaker
CT_45 Mon Early Caretaker
CT_45 Tue Early Caretaker
CT_45 Wed Early Caretaker
CT_45 Thu Early Caretaker
CT_45 Fri Early Caretaker
CT_46 Thu Early Caretaker
CT_46 Fri Early Caretaker
CT_46 Sat Early Caretaker
CT_46 Sun Night Caretaker
CT_47 Mon Night Caretaker
CT_48 Mon Late Caretaker
CT_48 Tue Late Caretaker
CT_48 Wed Late Caretaker
CT_48 Thu Late Caretaker
CT_48 Fri Late Caretaker
CT_49 Mon Night Caretaker
CT_49 Tue Night Caretaker
CT_49 Wed Night Caretaker
CT_50 Thu Early Caretaker
CT_50 Fri Early Caretaker
CT_50 Sat Early Caretaker
CT_50 Sun Early Caretaker
CT_51 Mon Night Caretaker
CT_51 Tue Night Caretaker
CT_51 Wed Night Caretaker
TR_52 Wed Early Trainee
TR_52 Thu Early Trainee
TR_52 Fri Day Trainee
TR_52 Sat Day Trainee
TR_52 Sun Day Trainee
TR_53 Sat Night Trainee
TR_53 Sun Night Trainee
TR_54 Wed Late Trainee
TR_54 Thu Late Trainee
TR_54 Fri Late Trainee
TR_55 Mon Night Trainee
TR_55 Tue Night Trainee
TR_56 Sat Late Trainee
TR_56 Sun Late Trainee
TR_57 Mon Early Trainee
TR_57 Tue Early Trainee
TR_57 Wed Day Trainee
TR_57 Thu Day Trainee
TR_58 Mon Late Trainee
TR_58 Tue Late Trainee
TR_59 Sat Early Trainee
TR_59 Sun Early Trainee
