SOLUTION
1 n100w4

ASSIGNMENTS = 323
HN_0 Fri Late HeadNurse
HN_0 Sat Late HeadNurse
HN_0 Sun Late HeadNurse
HN_1 Tue Day HeadNurse
HN_1 Wed Day HeadNurse
HN_1 Thu Day HeadNurse
HN_2 Tue Day Nurse
HN_2 Wed Day Nurse
HN_2 Thu Late HeadNurse
HN_2 Fri Late Nurse
HN_3 Mon Night HeadNurse
HN_4 Wed Day Nurse
HN_4 Thu Day Nurse
HN_4 Fri Day HeadNurse
HN_5 Mon Day HeadNurse
HN_5 Tue Day Nurse
HN_6 Tue Early HeadNurse
HN_6 Wed Early HeadNurse
HN_6 Thu Early Nurse
HN_6 Fri Early HeadNurse
HN_7 Mon Early HeadNurse
HN_7 Tue Early Nurse
HN_7 Wed Early Nurse
HN_8 Mon Late Nurse
HN_8 Tue Late HeadNurse
HN_8 Wed Late HeadNurse
HN_9 Mon Day Nurse
HN_9 Wed Day Nurse
HN_9 Thu Day Nurse
HN_9 Fri Day Nurse
HN_10 Mon Late Nurse
HN_10 Tue Late Nurse
HN_11 Fri Night HeadNurse
HN_11 Sat Night HeadNurse
HN_11 Sun Night HeadNurse
HN_12 Sat Early Nurse
HN_12 Sun Early HeadNurse
HN_13 Mon Early Nurse
HN_14 Mon Late Nurse
HN_14 Thu Day Nurse
HN_14 Fri Day Nurse
HN_14 Sat Day HeadNurse
HN_14 Sun Late Nurse
HN_15 Mon Night Nurse
HN_15 Tue Night HeadNurse
HN_15 Wed Night HeadNurse
HN_15 Thu Night Nurse
HN_15 Fri Night Nurse
NU_16 Fri Early Nurse
NU_16 Sat Early Caretaker
NU_16 Sun Early Nurse
NU_17 Mon Night Nurse
NU_17 Tue Night Nurse
NU_17 Wed Night Nurse
NU_17 Thu Night Nurse
NU_18 Mon Day Nurse
NU_18 Tue Day Nurse
NU_18 Wed Late Nurse
NU_18 Thu Late Nurse
NU_18 Fri Late Nurse
NU_19 Mon Late Caretaker
NU_19 Tue Late Nurse
NU_20 Mon Late Caretaker
NU_20 Tue Late Nurse
NU_20 Wed Late Nurse
NU_20 Sat Late Nurse
NU_20 Sun Late Caretaker
NU_21 Mon Late Caretaker
NU_21 Thu Night Nurse
NU_21 Fri Night Nurse
NU_21 Sat Night Nurse
NU_21 Sun Night Nurse
NU_24 Sat Day Nurse
NU_24 Sun Day Nurse
NU_25 Wed Day Caretaker
NU_25 Thu Day Caretaker
NU_25 Fri Day Nurse
NU_25 Sat Day Caretaker
NU_25 Sun Early Caretaker
NU_26 Tue Early Nurse
NU_26 Wed Early Nurse
NU_26 Thu Late Nurse
NU_26 Fri Late Caretaker
NU_27 Mon Late Caretaker
NU_28 Tue Early Caretaker
NU_28 Wed Early Nurse
NU_28 Thu Late Nurse
NU_28 Fri Late Caretaker
NU_30 Mon Day Nurse
NU_30 Tue Day Caretaker
NU_30 Wed Early Caretaker
NU_30 Thu Early Nurse
NU_30 Fri Early Nurse
NU_31 Mon Night Caretaker
NU_31 Tue Night Nurse
NU_31 Wed Night Nurse
NU_31 Thu Night Caretaker
NU_31 Fri Night Caretaker
NU_32 Mon Night Caretaker
NU_32 Tue Night Caretaker
NU_32 Wed Night Nurse
NU_33 Tue Early Caretaker
NU_33 Wed Early Caretaker
NU_33 Thu Early Caretaker
NU_33 Fri Early Nurse
NU_34 Mon Late Caretaker
NU_34 Tue Late Caretaker
NU_34 Wed Late Caretaker
CT_35 Mon Night Caretaker
CT_35 Tue Night Caretaker
CT_35 Wed Night Caretaker
CT_35 Thu Night Caretaker
CT_35 Fri Night Caretaker
CT_36 Thu Early Caretaker
CT_36 Fri Early Caretaker
CT_36 Sat Early Caretaker
CT_36 Sun Early Caretaker
CT_37 Mon Day Caretaker
CT_37 Tue Day Caretaker
CT_37 Wed Day Caretaker
CT_37 Thu Early Caretaker
CT_37 Fri Early Caretaker
CT_38 Wed Night Caretaker
CT_38 Thu Night Caretaker
CT_38 Fri Night Caretaker
CT_38 Sat Night Caretaker
CT_38 Sun Night Caretaker
CT_39 Tue Early Caretaker
CT_39 Wed Early Caretaker
CT_39 Thu Day Caretaker
CT_39 Fri Day Caretaker
CT_40 Mon Early Caretaker
CT_40 Thu Early Caretaker
CT_40 Fri Early Caretaker
CT_40 Sat Late Caretaker
CT_40 Sun Late Caretaker
CT_41 Mon Early Caretaker
CT_41 Tue Early Caretaker
CT_41 Sat Day Caretaker
CT_41 Sun Day Caretaker
CT_42 Mon Night Caretaker
CT_42 Tue Night Caretaker
CT_42 Wed Night Caretaker
CT_42 Thu Night Caretaker
CT_42 Fri Night Caretaker
CT_43 Wed Late Caretaker
CT_43 Thu Late Caretaker
CT_43 Fri Night Caretaker
CT_43 Sat Night Caretaker
CT_43 Sun Night Caretaker
CT_44 Mon Early Caretaker
CT_44 Tue Early Caretaker
CT_44 Wed Early Caretaker
CT_44 Thu Early Caretaker
CT_44 Fri Early Caretaker
CT_45 Thu Day Caretaker
CT_45 Fri Day Caretaker
CT_46 Wed Early Caretaker
CT_46 Thu Early Caretaker
CT_46 Fri Early Caretaker
CT_47 Fri Night Caretaker
CT_47 Sat Night Caretaker
CT_47 Sun Night Caretaker
CT_48 Fri Day Caretaker
CT_48 Sat Day Caretaker
CT_48 Sun Day Caretaker
CT_49 Thu Early Caretaker
CT_49 Fri Early Caretaker
CT_50 Mon Night Caretaker
CT_50 Tue Night Caretaker
CT_50 Wed Night Caretaker
CT_50 Thu Night Caretaker
CT_50 Fri Night Caretaker
CT_51 Mon Day Caretaker
CT_51 Tue Day Caretaker
CT_51 Sat Late Caretaker
CT_51 Sun Late Caretaker
CT_52 Mon Late Caretaker
CT_52 Tue Late Caretaker
CT_52 Fri Early Caretaker
CT_52 Sat Early Caretaker
CT_52 Sun Early Caretaker
CT_53 Wed Day Caretaker
CT_53 Thu Day Caretaker
CT_54 Mon Early Caretaker
CT_55 Tue Late Caretaker
CT_55 Wed Late Caretaker
CT_56 Sat Day Caretaker
CT_56 Sun Day Caretaker
CT_57 Mon Night Caretaker
CT_57 Tue Night Caretaker
CT_57 Wed Night Caretaker
CT_57 Thu Night Caretaker
CT_58 Mon Night Caretaker
CT_58 Tue Night Caretaker
CT_58 Wed Night Caretaker
CT_58 Thu Night Caretaker
CT_59 Tue Late Caretaker
CT_59 Wed Late Caretaker
CT_60 Mon Day Caretaker
CT_60 Tue Day Caretaker
CT_60 Wed Day Caretaker
CT_60 Thu Day Caretaker
CT_60 Fri Day Caretaker
CT_61 Wed Day Caretaker
CT_61 Thu Day Caretaker
CT_61 Fri Day Caretaker
CT_61 Sat Day Caretaker
CT_61 Sun Day Caretaker
CT_62 Mon Early Caretaker
CT_62 Tue Early Caretaker
CT_62 Wed Late Caretaker
CT_62 Thu Late Caretaker
CT_62 Fri Late Caretaker
CT_63 Mon Late Caretaker
CT_64 Mon Day Caretaker
CT_64 Tue Day Caretaker
CT_64 Wed Day Caretaker
CT_64 Thu Day Caretaker
CT_65 Mon Night Caretaker
CT_65 Tue Night Caretaker
CT_65 Wed Night Caretaker
CT_65 Thu Night Caretaker
CT_66 Mon Late Caretaker
CT_66 Tue Late Caretaker
CT_66 Wed Late Caretaker
CT_66 Thu Late Caretaker
CT_67 Thu Early Caretaker
CT_67 Fri Early Caretaker
CT_68 Tue Day Caretaker
CT_68 Wed Day Caretaker
CT_69 Wed Late Caretaker
CT_69 Thu Late Caretaker
CT_69 Fri Late Caretaker
CT_70 Fri Late Caretaker
CT_70 Sat Late Caretaker
CT_70 Sun Late Caretaker
CT_71 Mon Early Caretaker
CT_71 Tue Early Caretaker
CT_72 Mon Day Caretaker
CT_72 Tue Day Caretaker
CT_72 Wed Day Caretaker
CT_73 Tue Late Caretaker
CT_73 Wed Late Caretaker
CT_73 Thu Late Caretaker
CT_73 Fri Late Caretaker
CT_74 Mon Early Caretaker
CT_74 Tue Early Caretaker
CT_74 Wed Late Caretaker
CT_74 Thu Late Caretaker
CT_74 Fri Late Caretaker
TR_75 Mon Night Trainee
TR_75 Tue Night Trainee
TR_75 Wed Night Trainee
TR_75 Thu Night Trainee
TR_76 Mon Night Trainee
TR_76 Tue Night Trainee
TR_76 Wed Night Trainee
TR_76 Thu Night Trainee
TR_77 Tue Early Trainee
TR_77 Wed Early Trainee
TR_77 Thu Early Trainee
TR_78 Thu Early Trainee
TR_78 Fri Early Trainee
TR_79 Sat Day Trainee
TR_79 Sun Day Trainee
TR_80 Thu Late Trainee
TR_80 Fri Late Trainee
TR_81 Tue Late Trainee
TR_81 Wed Late Trainee
TR_81 Thu Late Trainee
TR_82 Wed Night Trainee
TR_82 Thu Night Trainee
TR_82 Fri Night Trainee
TR_82 Sat Night Trainee
TR_82 Sun Night Trainee
TR_83 Mon Day Trainee
TR_83 Tue Day Trainee
TR_83 Wed Late Trainee
TR_83 Thu Late Trainee
TR_83 Fri Late Trainee
TR_84 Sat Early Trainee
TR_84 Sun Early Trainee
TR_85 Mon Late Trainee
TR_86 Thu Day Trainee
TR_86 Fri Day Trainee
TR_87 Sat Late Trainee
TR_87 Sun Late Trainee
TR_88 Wed Early Trainee
TR_88 Thu Early Trainee
TR_88 Fri Early Trainee
TR_89 Wed Early Trainee
TR_89 Thu Early Trainee
TR_89 Fri Early Trainee
TR_90 Mon Late Trainee
TR_90 Tue Late Trainee
TR_90 Wed Late Trainee
TR_91 Fri Day Trainee
TR_91 Sat Day Trainee
TR_91 Sun Night Trainee
TR_92 Mon Day Trainee
TR_92 Tue Early Trainee
TR_92 Wed Early Trainee
TR_93 Mon Day Trainee
TR_93 Tue Day Trainee
TR_93 Wed Day Trainee
TR_93 Thu Day Trainee
TR_94 Mon Early Trainee
TR_94 Tue Early Trainee
TR_94 Fri Night Trainee
TR_94 Sat Night Trainee
TR_94 Sun Night Trainee
TR_95 Tue Day Trainee
TR_95 Wed Day Trainee
TR_96 Wed Day Trainee
TR_96 Thu Day Trainee
TR_96 Fri Day Trainee
TR_97 Mon Late Trainee
TR_97 Tue Late Trainee
TR_97 Wed Late Trainee
TR_98 Mon Early Trainee
TR_98 Tue Early Trainee
TR_99 Mon Night Trainee
