SOLUTION
3 n120w8

ASSIGNMENTS = 472
HN_0 Mon Night HeadNurse
HN_0 Tue Night HeadNurse
HN_2 Mon Late HeadNurse
HN_2 Tue Late HeadNurse
HN_2 Sat Day HeadNurse
HN_2 Sun Day Nurse
HN_3 Mon Night HeadNurse
HN_4 Wed Night HeadNurse
HN_4 Thu Night HeadNurse
HN_4 Fri Night HeadNurse
HN_4 Sat Night HeadNurse
HN_4 Sun Night HeadNurse
HN_5 Tue Day HeadNurse
HN_5 Wed Day HeadNurse
HN_5 Thu Day HeadNurse
HN_5 Fri Day HeadNurse
HN_6 Tue Night HeadNurse
HN_6 Wed Night Nurse
HN_6 Thu Night HeadNurse
HN_6 Fri Night HeadNurse
HN_7 Mon Late Nurse
HN_7 Tue Late Nurse
HN_7 Wed Late HeadNurse
HN_7 Thu Late HeadNurse
HN_7 Fri Late Nurse
HN_8 Thu Day HeadNurse
HN_8 Fri Day HeadNurse
HN_8 Sat Late HeadNurse
HN_8 Sun Late HeadNurse
HN_9 Mon Early HeadNurse
HN_9 Tue Early HeadNurse
HN_9 Wed Early HeadNurse
HN_9 Thu Late HeadNurse
HN_9 Fri Late Nurse
HN_10 Mon Early Nurse
HN_10 Tue Early HeadNurse
HN_10 Wed Day Nurse
HN_10 Thu Day Nurse
HN_10 Fri Day Nurse
HN_11 Mon Night Nurse
HN_11 Tue Night HeadNurse
HN_11 Wed Night Nurse
HN_11 Thu Night Nurse
HN_11 Fri Night Nurse
HN_12 Fri Night Nurse
HN_12 Sat Night Nurse
HN_12 Sun Night Nurse
HN_13 Tue Early Nurse
HN_13 Wed Early HeadNurse
HN_13 Thu Early HeadNurse
HN_13 Fri Early HeadNurse
HN_14 Mon Early Nurse
HN_14 Thu Day Nurse
HN_14 Fri Day Nurse
HN_14 Sat Early HeadNurse
HN_14 Sun Early HeadNurse
HN_15 Mon Day HeadNurse
HN_15 Tue Day HeadNurse
HN_15 Wed Day Nurse
HN_15 Sat Night Nurse
HN_15 Sun Night Nurse
HN_16 Mon Early Nurse
HN_16 Sat Early Nurse
HN_16 Sun Early Nurse
HN_17 Mon Early Nurse
HN_17 Tue Early Nurse
HN_17 Wed Early Nurse
HN_17 Thu Late HeadNurse
HN_17 Fri Late Nurse
HN_18 Mon Day Nurse
HN_18 Tue Day Nurse
HN_18 Wed Late Nurse
HN_18 Thu Late Nurse
HN_19 Mon Day Nurse
HN_19 Tue Day Nurse
HN_19 Wed Day Nurse
HN_19 Thu Early Nurse
HN_19 Fri Early Nurse
NU_20 Mon Day Nurse
NU_20 Tue Day Nurse
NU_20 Wed Early Nurse
NU_20 Thu Early Nurse
NU_20 Fri Early Nurse
NU_21 Sat Night Caretaker
NU_21 Sun Night Caretaker
NU_22 Mon Night Nurse
NU_22 Tue Night Nurse
NU_22 Wed Night Nurse
NU_22 Thu Night Nurse
NU_23 Sat Early Nurse
NU_23 Sun Early Nurse
NU_24 Mon Late Nurse
NU_24 Thu Early Nurse
NU_24 Fri Early Nurse
NU_24 Sat Late Nurse
NU_24 Sun Late Nurse
NU_25 Mon Night Nurse
NU_25 Tue Night Nurse
NU_25 Wed Night Nurse
NU_25 Thu Night Nurse
NU_25 Fri Night Nurse
NU_26 Mon Late Nurse
NU_26 Tue Late Nurse
NU_26 Wed Late Nurse
NU_26 Thu Late Nurse
NU_27 Tue Night Nurse
NU_27 Wed Night Nurse
NU_27 Thu Night Nurse
NU_27 Fri Night Nurse
NU_28 Mon Night Nurse
NU_28 Tue Night Nurse
NU_28 Wed Night Caretaker
NU_28 Thu Night Caretaker
NU_28 Fri Night Caretaker
NU_29 Mon Night Caretaker
NU_29 Sat Late Caretaker
NU_29 Sun Late Caretaker
NU_30 Tue Late Nurse
NU_30 Wed Late Nurse
NU_30 Thu Late Nurse
NU_30 Fri Late Nurse
NU_31 Mon Day Nurse
NU_31 Tue Day Nurse
NU_31 Wed Day Nurse
NU_31 Thu Late Nurse
NU_31 Fri Late Caretaker
NU_32 Mon Late Nurse
NU_32 Tue Late Caretaker
NU_32 Fri Early Nurse
NU_32 Sat Early Nurse
NU_32 Sun Early Caretaker
NU_33 Mon Day Caretaker
NU_33 Tue Day Caretaker
NU_33 Wed Day Nurse
NU_33 Thu Day Nurse
NU_33 Fri Day Nurse
NU_34 Mon Night Caretaker
NU_34 Tue Night Caretaker
NU_34 Wed Night Caretaker
NU_34 Sat Day Nurse
NU_34 Sun Day Nurse
NU_35 Mon Late Nurse
NU_35 Tue Late Caretaker
NU_35 Wed Late Nurse
NU_35 Sat Early Caretaker
NU_35 Sun Early Caretaker
NU_36 Mon Late Caretaker
NU_36 Tue Late Caretaker
NU_36 Wed Late Nurse
NU_36 Thu Late Nurse
NU_36 Fri Late Caretaker
NU_37 Fri Night Caretaker
NU_37 Sat Night Caretaker
NU_37 Sun Night Caretaker
NU_38 Mon Day Caretaker
NU_38 Tue Day Caretaker
NU_38 Wed Late Caretaker
NU_38 Thu Late Caretaker
NU_38 Fri Late Caretaker
NU_39 Tue Early Nurse
NU_39 Wed Early Nurse
NU_39 Thu Day Nurse
NU_39 Fri Day Nurse
NU_40 Wed Early Nurse
NU_40 Thu Early Nurse
NU_40 Fri Early Caretaker
NU_41 Mon Day Caretaker
NU_42 Mon Early Caretaker
NU_42 Tue Early Nurse
NU_42 Wed Day Caretaker
NU_42 Thu Day Caretaker
NU_42 Fri Day Nurse
NU_43 Tue Night Caretaker
NU_43 Wed Night Caretaker
NU_43 Thu Night Caretaker
NU_43 Fri Night Caretaker
NU_44 Tue Night Caretaker
NU_44 Wed Night Caretaker
NU_44 Thu Night Caretaker
NU_44 Fri Night Caretaker
NU_45 Tue Early Nurse
NU_45 Wed Early Caretaker
NU_45 Thu Early Nurse
NU_45 Fri Early Caretaker
NU_46 Tue Early Caretaker
NU_46 Wed Early Caretaker
NU_46 Thu Day Caretaker
NU_46 Fri Day Caretaker
NU_47 Thu Early Caretaker
NU_47 Fri Early Caretaker
NU_47 Sat Late Caretaker
NU_47 Sun Late Caretaker
NU_48 Mon Late Caretaker
NU_48 Tue Late Caretaker
NU_48 Wed Late Caretaker
NU_48 Sat Early Caretaker
NU_48 Sun Early Caretaker
NU_49 Mon Early Caretaker
NU_49 Tue Early Caretaker
NU_49 Wed Early Caretaker
NU_49 Thu Early Caretaker
NU_49 Fri Early Caretaker
CT_50 Mon Early Caretaker
CT_50 Thu Early Caretaker
CT_50 Fri Early Caretaker
CT_50 Sat Day Caretaker
CT_50 Sun Day Caretaker
CT_51 Tue Late Caretaker
CT_51 Wed Late Caretaker
CT_51 Thu Late Caretaker
CT_51 Fri Late Caretaker
CT_52 Mon Late Caretaker
CT_52 Tue Late Caretaker
CT_52 Wed Late Caretaker
CT_52 Sat Late Caretaker
CT_52 Sun Late Caretaker
CT_53 Mon Night Caretaker
CT_53 Tue Night Caretaker
CT_53 Wed Night Caretaker
CT_53 Thu Night Caretaker
CT_53 Fri Night Caretaker
CT_54 Mon Late Caretaker
CT_55 Mon Night Caretaker
CT_55 Tue Night Caretaker
CT_55 Fri Day Caretaker
CT_55 Sat Day Caretaker
CT_55 Sun Day Caretaker
CT_56 Mon Late Caretaker
CT_56 Tue Late Caretaker
CT_57 Tue Day Caretaker
CT_57 Wed Day Caretaker
CT_57 Thu Early Caretaker
CT_57 Fri Early Caretaker
CT_58 Mon Night Caretaker
CT_59 Mon Early Caretaker
CT_59 Tue Early Caretaker
CT_59 Wed Early Caretaker
CT_59 Thu Early Caretaker
CT_59 Fri Early Caretaker
CT_60 Mon Day Caretaker
CT_60 Tue Day Caretaker
CT_60 Wed Late Caretaker
CT_60 Thu Late Caretaker
CT_60 Fri Late Caretaker
CT_61 Mon Early Caretaker
CT_61 Tue Early Caretaker
CT_62 Tue Early Caretaker
CT_62 Wed Early Caretaker
CT_62 Thu Day Caretaker
CT_62 Fri Day Caretaker
CT_63 Mon Day Caretaker
CT_64 Mon Night Caretaker
CT_64 Tue Night Caretaker
CT_64 Wed Night Caretaker
CT_64 Thu Night Caretaker
CT_65 Mon Late Caretaker
CT_66 Tue Late Caretaker
CT_66 Wed Late Caretaker
CT_66 Thu Late Caretaker
CT_67 Thu Early Caretaker
CT_67 Fri Early Caretaker
CT_67 Sat Late Caretaker
CT_67 Sun Late Caretaker
CT_68 Tue Day Caretaker
CT_68 Wed Day Caretaker
CT_68 Thu Day Caretaker
CT_68 Fri Day Caretaker
CT_69 Mon Day Caretaker
CT_69 Tue Day Caretaker
CT_69 Wed Day Caretaker
CT_69 Thu Late Caretaker
CT_69 Fri Late Caretaker
CT_70 Mon Late Caretaker
CT_70 Sat Early Caretaker
CT_70 Sun Early Caretaker
CT_71 Mon Day Caretaker
CT_71 Tue Day Caretaker
CT_71 Wed Late Caretaker
CT_71 Thu Late Caretaker
CT_72 Tue Late Caretaker
CT_72 Wed Late Caretaker
CT_72 Thu Late Caretaker
CT_73 Wed Night Caretaker
CT_73 Thu Night Caretaker
CT_73 Fri Night Caretaker
CT_73 Sat Night Caretaker
CT_73 Sun Night Caretaker
CT_74 Thu Day Caretaker
CT_74 Fri Day Caretaker
CT_74 Sat Day Caretaker
CT_74 Sun Day Caretaker
CT_75 Tue Early Caretaker
CT_75 Wed Early Caretaker
CT_75 Thu Early Caretaker
CT_75 Fri Early Caretaker
CT_76 Mon Night Caretaker
CT_76 Tue Night Caretaker
CT_76 Wed Night Caretaker
CT_76 Thu Night Caretaker
CT_77 Tue Day Caretaker
CT_77 Wed Day Caretaker
CT_77 Thu Late Caretaker
CT_77 Fri Late Caretaker
CT_78 Fri Night Caretaker
CT_78 Sat Night Caretaker
CT_78 Sun Night Caretaker
CT_79 Tue Early Caretaker
CT_79 Wed Early Caretaker
CT_79 Thu Early Caretaker
CT_80 Mon Day Caretaker
CT_80 Tue Day Caretaker
CT_80 Fri Day Caretaker
CT_80 Sat Day Caretaker
CT_80 Sun Day Caretaker
CT_81 Thu Day Caretaker
CT_81 Fri Day Caretaker
CT_81 Sat Early Caretaker
CT_81 Sun Early Caretaker
CT_82 Mon Early Caretaker
CT_82 Tue Early Caretaker
CT_82 Wed Late Caretaker
CT_82 Thu Late Caretaker
CT_82 Fri Late Caretaker
CT_83 Mon Early Caretaker
CT_83 Tue Early Caretaker
CT_83 Wed Early Caretaker
CT_83 Thu Day Caretaker
CT_83 Fri Day Caretaker
CT_84 Mon Night Caretaker
CT_84 Tue Night Caretaker
CT_84 Wed Night Caretaker
